Macro_Date,GDP,NPA,Credit Growth,Deposit Growth
10-Jan,7.97,2.39,14.6,15.8
10-Sep,8.59,2.58,14.86,16.49
11-Mar,5.2,2.4,22.6,35
11-Sep,5.21,2.8,19.2,33
12-Mar,5.3,2.9,16.9,13.7
12-Sep,5.38,3.6,15.8,14.3
13-Mar,6.45,3.4,15.1,14.4
13-Sep,6.53,5.5,17.1,13.9
14-Mar,8.02,4.1,13.6,14.4
14-Sep,5.92,4.5,10,12.9
15-Mar,7.59,4.6,10,10.7
15-Sep,7.2,5.1,9.7,9.9
16-Mar,8.68,7.6,8.8,8.1
16-Sep,8.58,9.1,7.8,9.2
17-Mar,6.11,9.6,4.4,11.1
17-Sep,6.67,18.5,6.2,7.8
18-Mar,7.5,11.6,10.4,9.6
18-Sep,6.23,10.8,13.1,8.7
19-Mar,5.1,9.3,13.2,9.9
19-Sep,3.26,9.3,8.7,10.2
20-Mar,-23.13,8.5,5.9,8.6
20-Sep,1.78,7.5,5,10.3
21-Mar,22.63,7.5,5.4,11.9
21-Sep,5.53,9.6,6.7,9.7
22-Mar,13.49,5.9,11.5,9.9
22-Sep,4.84,5,17.5,9.8
23-Mar,9.66,3.9,15.4,10
23-Sep,9.51,3.2,19.4,13.4
24-Mar,6.51,2.8,19.2,13.5
