Date,Total Positive Words,Total Negative Words,Total Words,Sentiment Index
June 2024,254,492,61948,0.0038419319429198683
December 2023,278,547,66473,0.0040467558256735816
June 2023,309,672,64813,0.0056007282489623994
December 2022,261,567,61292,0.004992494942243686
June 2022,209,532,54712,0.005903640883170054
December 2021,213,481,51658,0.005187967013821673
July 2021,233,463,49974,0.004602393244487133
January 2021,229,487,45442,0.005677567008494345
July 2020,171,557,51833,0.007446993228252272
December 2019,119,410,44863,0.006486414194324944
June 2019,143,414,42512,0.00637467068121942
December 2018,161,373,42715,0.004963127706894534
June 2018,128,371,39520,0.006148785425101215
December 2017,147,318,36129,0.0047330399402142325
June 2017,131,271,37491,0.003734229548424955
December 2016,120,295,34599,0.005057949651724038
June 2016,135,373,44095,0.005397437351173602
December 2015,100,401,40119,0.007502679528403001
June 2015,140,308,40479,0.004150300155636256
December 2014,123,265,35562,0.0039930262639896515
June 2014,132,322,35444,0.005360568784561562
June 2014,132,322,35444,0.005360568784561562
December 2013,132,430,37359,0.007976658904146257
June 2013,124,353,38313,0.005977083496463341
December 2012,162,485,40121,0.008050646793449814
June 2012,131,451,37513,0.008530376136272758
December 2011,152,516,46490,0.007829640782964078
June 2011,216,468,46969,0.005365240903574698
December 2010,354,578,57211,0.003915330967820874
March 2010,302,495,52243,0.0036942748310778476
